date,max_temp,min_temp
2026-01-14,27.7,17.4
2026-01-15,28.7,17.4
2026-01-16,29.1,16.4
2026-01-17,29.0,15.4
2026-01-18,28.3,14.3
2026-01-19,27.5,15.3
2026-01-20,27.9,13.7
2026-01-21,27.9,14.5
